id,uid,expt_id,duration,true,pred,age,gender,expert,filename
1280,d705844fc653f27afc107201cacd0daa,1,5000,1,1,99,other,0,real/real-51.jpg
1281,d705844fc653f27afc107201cacd0daa,1,5000,0,0,99,other,0,gan/gan-23.jpg
1282,d705844fc653f27afc107201cacd0daa,1,5000,1,1,99,other,0,real/real-27.jpg
1283,d705844fc653f27afc107201cacd0daa,1,5000,0,0,99,other,0,gan/gan-30.jpg
1284,d705844fc653f27afc107201cacd0daa,1,5000,1,1,99,other,0,real/real-44.jpg
1285,d705844fc653f27afc107201cacd0daa,1,1000,1,1,99,other,0,real/real-36.jpg
1286,d705844fc653f27afc107201cacd0daa,1,1000,1,1,99,other,0,real/real-3.jpg
1287,d705844fc653f27afc107201cacd0daa,1,1000,0,0,99,other,0,gan/gan-7.jpg
1288,d705844fc653f27afc107201cacd0daa,1,1000,1,1,99,other,0,real/real-11.jpg
1289,d705844fc653f27afc107201cacd0daa,1,1000,1,0,99,other,0,real/real-38.jpg
1290,d705844fc653f27afc107201cacd0daa,1,1000,1,1,99,other,0,real/real-14.jpg
1291,4c082b3c3c72b3c1741c505f253770ba,1,500,1,0,23,male,0,real/real-13.jpg
1292,4c082b3c3c72b3c1741c505f253770ba,1,500,0,1,23,male,0,gan/gan-40.jpg
1293,4c082b3c3c72b3c1741c505f253770ba,1,500,1,0,23,male,0,real/real-34.jpg
1294,4c082b3c3c72b3c1741c505f253770ba,1,500,0,0,23,male,0,gan/gan-36.jpg
1295,4c082b3c3c72b3c1741c505f253770ba,1,500,1,1,23,male,0,real/real-15.jpg
1296,4c082b3c3c72b3c1741c505f253770ba,1,500,1,1,23,male,0,real/real-31.jpg
1297,f33d9571942080f65354bcd25ddfdacc,2,5000,1,0,29,male,0,real-blur/real-blur-44.jpg
1298,f33d9571942080f65354bcd25ddfdacc,2,5000,0,1,29,male,0,gan-blur/gan-blur-7.jpg
1299,f33d9571942080f65354bcd25ddfdacc,2,5000,1,0,29,male,0,real-blur/real-blur-47.jpg
1300,f33d9571942080f65354bcd25ddfdacc,2,5000,1,0,29,male,0,real-blur/real-blur-41.jpg
1301,f33d9571942080f65354bcd25ddfdacc,2,5000,1,1,29,male,0,real-blur/real-blur-61.jpg
1302,f33d9571942080f65354bcd25ddfdacc,2,5000,1,1,29,male,0,real-blur/real-blur-3.jpg
1303,4c082b3c3c72b3c1741c505f253770ba,1,250,0,0,23,male,0,gan/gan-5.jpg
1304,4c082b3c3c72b3c1741c505f253770ba,1,250,1,0,23,male,0,real/real-26.jpg
1305,4c082b3c3c72b3c1741c505f253770ba,1,250,1,1,23,male,0,real/real-9.jpg
1306,4c082b3c3c72b3c1741c505f253770ba,1,250,0,0,23,male,0,gan/gan-25.jpg
1307,4c082b3c3c72b3c1741c505f253770ba,1,250,1,1,23,male,0,real/real-8.jpg
1308,4c082b3c3c72b3c1741c505f253770ba,1,250,0,1,23,male,0,gan/gan-1.jpg
1309,f33d9571942080f65354bcd25ddfdacc,2,500,0,1,29,male,0,gan-blur/gan-blur-14.jpg
1310,f33d9571942080f65354bcd25ddfdacc,2,500,0,1,29,male,0,gan-blur/gan-blur-15.jpg
1311,f33d9571942080f65354bcd25ddfdacc,2,500,0,0,29,male,0,gan-blur/gan-blur-39.jpg
1312,f33d9571942080f65354bcd25ddfdacc,2,500,1,1,29,male,0,real-blur/real-blur-26.jpg
1313,f33d9571942080f65354bcd25ddfdacc,2,500,0,1,29,male,0,gan-blur/gan-blur-27.jpg
1314,f33d9571942080f65354bcd25ddfdacc,2,500,1,1,29,male,0,real-blur/real-blur-51.jpg
1315,d705844fc653f27afc107201cacd0daa,1,2000,0,0,99,other,0,gan/gan-14.jpg
1316,d705844fc653f27afc107201cacd0daa,1,2000,1,1,99,other,0,real/real-53.jpg
1317,d705844fc653f27afc107201cacd0daa,1,2000,0,1,99,other,0,gan/gan-20.jpg
1318,d705844fc653f27afc107201cacd0daa,1,2000,1,1,99,other,0,real/real-7.jpg
1319,d705844fc653f27afc107201cacd0daa,1,2000,0,0,99,other,0,gan/gan-38.jpg
1320,d705844fc653f27afc107201cacd0daa,1,2000,0,0,99,other,0,gan/gan-16.jpg
1321,4c082b3c3c72b3c1741c505f253770ba,1,1000,0,1,23,male,0,gan/gan-7.jpg
1322,4c082b3c3c72b3c1741c505f253770ba,1,1000,0,1,23,male,0,gan/gan-41.jpg
1323,4c082b3c3c72b3c1741c505f253770ba,1,1000,0,1,23,male,0,gan/gan-15.jpg
1324,4c082b3c3c72b3c1741c505f253770ba,1,1000,1,1,23,male,0,real/real-42.jpg
1325,4c082b3c3c72b3c1741c505f253770ba,1,1000,1,0,23,male,0,real/real-47.jpg
1326,4c082b3c3c72b3c1741c505f253770ba,1,1000,1,0,23,male,0,real/real-30.jpg
1327,8c468d326e8d906ae1052b47ea59813a,2,2000,0,1,44,male,0,gan-blur/gan-blur-26.jpg
1328,8c468d326e8d906ae1052b47ea59813a,2,2000,1,0,44,male,0,real-blur/real-blur-58.jpg
1329,8c468d326e8d906ae1052b47ea59813a,2,2000,1,1,44,male,0,real-blur/real-blur-20.jpg
1330,8c468d326e8d906ae1052b47ea59813a,2,2000,1,1,44,male,0,real-blur/real-blur-56.jpg
1331,8c468d326e8d906ae1052b47ea59813a,2,2000,1,0,44,male,0,real-blur/real-blur-33.jpg
1332,8c468d326e8d906ae1052b47ea59813a,2,2000,0,1,44,male,0,gan-blur/gan-blur-29.jpg
1333,9f0cca83115c4fc014073fbc310bea58,2,1000,0,1,47,male,0,gan-blur/gan-blur-14.jpg
1334,9f0cca83115c4fc014073fbc310bea58,2,1000,0,0,47,male,0,gan-blur/gan-blur-36.jpg
1335,9f0cca83115c4fc014073fbc310bea58,2,1000,0,1,47,male,0,gan-blur/gan-blur-11.jpg
1336,9f0cca83115c4fc014073fbc310bea58,2,1000,0,0,47,male,0,gan-blur/gan-blur-7.jpg
1337,9f0cca83115c4fc014073fbc310bea58,2,1000,0,0,47,male,0,gan-blur/gan-blur-22.jpg
1338,9f0cca83115c4fc014073fbc310bea58,2,1000,0,0,47,male,0,gan-blur/gan-blur-17.jpg
1339,f89a3ebcdf31d5c52dc5fcf928594c06,2,250,0,1,32,male,0,gan-blur/gan-blur-19.jpg
1340,f89a3ebcdf31d5c52dc5fcf928594c06,2,250,0,0,32,male,0,gan-blur/gan-blur-21.jpg
1341,f89a3ebcdf31d5c52dc5fcf928594c06,2,250,1,1,32,male,0,real-blur/real-blur-40.jpg
1342,f89a3ebcdf31d5c52dc5fcf928594c06,2,250,0,0,32,male,0,gan-blur/gan-blur-3.jpg
1343,f89a3ebcdf31d5c52dc5fcf928594c06,2,250,1,0,32,male,0,real-blur/real-blur-36.jpg
1344,f89a3ebcdf31d5c52dc5fcf928594c06,2,250,0,1,32,male,0,gan-blur/gan-blur-18.jpg
1345,d705844fc653f27afc107201cacd0daa,1,500,0,1,99,other,0,gan/gan-11.jpg
1346,d705844fc653f27afc107201cacd0daa,1,500,0,0,99,other,0,gan/gan-8.jpg
1347,d705844fc653f27afc107201cacd0daa,1,500,1,1,99,other,0,real/real-31.jpg
1348,d705844fc653f27afc107201cacd0daa,1,500,1,1,99,other,0,real/real-19.jpg
1349,d705844fc653f27afc107201cacd0daa,1,500,0,0,99,other,0,gan/gan-24.jpg
1350,d705844fc653f27afc107201cacd0daa,1,500,0,0,99,other,0,gan/gan-41.jpg
1351,4c082b3c3c72b3c1741c505f253770ba,1,2000,0,0,23,male,0,gan/gan-30.jpg
1352,4c082b3c3c72b3c1741c505f253770ba,1,2000,0,1,23,male,0,gan/gan-6.jpg
1353,4c082b3c3c72b3c1741c505f253770ba,1,2000,1,0,23,male,0,real/real-4.jpg
1354,4c082b3c3c72b3c1741c505f253770ba,1,2000,0,0,23,male,0,gan/gan-14.jpg
1355,4c082b3c3c72b3c1741c505f253770ba,1,2000,1,1,23,male,0,real/real-11.jpg
1356,4c082b3c3c72b3c1741c505f253770ba,1,2000,0,1,23,male,0,gan/gan-20.jpg
1357,5ec43865db1cd15d3edcfa6335391f56,2,2000,1,0,31,female,0,real-blur/real-blur-20.jpg
1358,5ec43865db1cd15d3edcfa6335391f56,2,2000,1,0,31,female,0,real-blur/real-blur-23.jpg
1359,5ec43865db1cd15d3edcfa6335391f56,2,2000,0,1,31,female,0,gan-blur/gan-blur-34.jpg
1360,5ec43865db1cd15d3edcfa6335391f56,2,2000,0,1,31,female,0,gan-blur/gan-blur-36.jpg
1361,5ec43865db1cd15d3edcfa6335391f56,2,2000,0,0,31,female,0,gan-blur/gan-blur-8.jpg
1362,5ec43865db1cd15d3edcfa6335391f56,2,2000,1,0,31,female,0,real-blur/real-blur-24.jpg
1363,9f0cca83115c4fc014073fbc310bea58,2,2000,1,1,47,male,0,real-blur/real-blur-58.jpg
1364,9f0cca83115c4fc014073fbc310bea58,2,2000,1,0,47,male,0,real-blur/real-blur-56.jpg
1365,9f0cca83115c4fc014073fbc310bea58,2,2000,1,0,47,male,0,real-blur/real-blur-34.jpg
1366,9f0cca83115c4fc014073fbc310bea58,2,2000,1,1,47,male,0,real-blur/real-blur-5.jpg
1367,9f0cca83115c4fc014073fbc310bea58,2,2000,0,0,47,male,0,gan-blur/gan-blur-16.jpg
1368,9f0cca83115c4fc014073fbc310bea58,2,2000,0,1,47,male,0,gan-blur/gan-blur-38.jpg
1369,f89a3ebcdf31d5c52dc5fcf928594c06,2,1000,0,0,32,male,0,gan-blur/gan-blur-33.jpg
1370,f89a3ebcdf31d5c52dc5fcf928594c06,2,1000,0,1,32,male,0,gan-blur/gan-blur-4.jpg
1371,f89a3ebcdf31d5c52dc5fcf928594c06,2,1000,1,0,32,male,0,real-blur/real-blur-10.jpg
1372,f89a3ebcdf31d5c52dc5fcf928594c06,2,1000,1,1,32,male,0,real-blur/real-blur-60.jpg
1373,f89a3ebcdf31d5c52dc5fcf928594c06,2,1000,0,1,32,male,0,gan-blur/gan-blur-35.jpg
1374,f89a3ebcdf31d5c52dc5fcf928594c06,2,1000,1,1,32,male,0,real-blur/real-blur-50.jpg
1375,d705844fc653f27afc107201cacd0daa,2,500,1,1,99,other,0,real-blur/real-blur-58.jpg
1376,d705844fc653f27afc107201cacd0daa,2,500,0,0,99,other,0,gan-blur/gan-blur-4.jpg
1377,d705844fc653f27afc107201cacd0daa,2,500,1,1,99,other,0,real-blur/real-blur-56.jpg
1378,d705844fc653f27afc107201cacd0daa,2,500,0,0,99,other,0,gan-blur/gan-blur-29.jpg
1379,d705844fc653f27afc107201cacd0daa,2,500,0,0,99,other,0,gan-blur/gan-blur-13.jpg
1380,d705844fc653f27afc107201cacd0daa,2,500,0,0,99,other,0,gan-blur/gan-blur-24.jpg
1381,f8f609c46b2d586299d84d608b06bac1,2,2000,0,0,49,male,0,gan-blur/gan-blur-32.jpg
1382,f8f609c46b2d586299d84d608b06bac1,2,2000,1,1,49,male,0,real-blur/real-blur-50.jpg
1383,f8f609c46b2d586299d84d608b06bac1,2,2000,1,1,49,male,0,real-blur/real-blur-6.jpg
1384,f8f609c46b2d586299d84d608b06bac1,2,2000,1,0,49,male,0,real-blur/real-blur-26.jpg
1385,f8f609c46b2d586299d84d608b06bac1,2,2000,1,0,49,male,0,real-blur/real-blur-63.jpg
1386,f8f609c46b2d586299d84d608b06bac1,2,2000,1,0,49,male,0,real-blur/real-blur-36.jpg
1387,5ec43865db1cd15d3edcfa6335391f56,2,250,0,1,31,female,0,gan-blur/gan-blur-14.jpg
1388,5ec43865db1cd15d3edcfa6335391f56,2,250,1,1,31,female,0,real-blur/real-blur-30.jpg
1389,5ec43865db1cd15d3edcfa6335391f56,2,250,0,0,31,female,0,gan-blur/gan-blur-19.jpg
1390,5ec43865db1cd15d3edcfa6335391f56,2,250,0,1,31,female,0,gan-blur/gan-blur-38.jpg
1391,5ec43865db1cd15d3edcfa6335391f56,2,250,1,0,31,female,0,real-blur/real-blur-58.jpg
1392,5ec43865db1cd15d3edcfa6335391f56,2,250,1,0,31,female,0,real-blur/real-blur-16.jpg
1393,4c082b3c3c72b3c1741c505f253770ba,1,5000,1,1,23,male,0,real/real-58.jpg
1394,4c082b3c3c72b3c1741c505f253770ba,1,5000,1,0,23,male,0,real/real-3.jpg
1395,4c082b3c3c72b3c1741c505f253770ba,1,5000,0,1,23,male,0,gan/gan-31.jpg
1396,4c082b3c3c72b3c1741c505f253770ba,1,5000,1,0,23,male,0,real/real-10.jpg
